,stopword
0,알
1,대
2,개
3,컵
4,큰술
5,장
6,약간
7,한마리
8,조각
9,줌
10,모
11,한줌
12,반컵
13,스푼
14,캔
15,팩
16,반개
17,봉
18,통
19,토막
20,쪽
21,큰술반
22,작은술
23,포기
24,작운술
25,한큰술반
26,단
27,마리
28,공기
29,숟갈
30,조큼
31,꼬집
32,약
33,종이컵
34,한장
35,원하는만큼
36,취향껏
37,가득한접시
38,소량
39,티스푼
40,큰스푼
41,숟가락
42,개대
43,적당히
44,듬뿍
45,샷혹은우유한컵
46,스쿱
47,샷
48,개개
49,샷취향껏
50,뿌리
51,작은슬
52,적당량
53,한컵
54,개정도
55,알취향껏
56,한병
57,작은거
58,반봉
59,한접시
60,줄
61,라면한봉
62,한봉
63,색깔별로하나씩
64,인분
65,색상별로취향껏
66,봉지
67,인분량
68,한사발
69,한뿌리
70,반큰술
71,한개
72,인기준
73,잔
74,슬라이스
75,한꼬집
76,과컵
77,한팩
78,한큰술
79,반근
80,톨
81,반꼬집
82,두줌정도많이
83,옵션
84,개중
85,밥그릇반공기
86,리터
87,덩이
88,송이
89,두컵
90,줄기
91,병
92,한공기
93,미
94,접시
95,큰수
96,국자
97,한캔
98,양파개분량
99,두개
100,두큰술
101,두줄
102,반공기
103,두장
104,한컵반
105,반모
106,박스
107,넉넉히
108,두공기
109,반포기
110,밥공기그릇
111,반개대
112,컵컵
113,생강
114,대접
115,근
116,조금
117,반작은술
118,팩약
119,반팩
120,한작은술
121,반마리
122,분량예포기
123,한스푼
124,세스푼
125,두스푼
126,반스푼
127,분의개
128,취향것
129,한봉지
130,반줌
131,잎
132,주먹
133,한모
134,큰술반큰술반큰술약간
135,팩약줌
136,적당랴
137,컵리터
138,국물용멸치
139,두줌
140,큰것캔
141,한묶음
142,작은것캔
143,느술
144,원크기
145,반뿌리
146,작은것단
147,푹잠길정도의물
148,원분량
149,개씩
150,반단
151,한통
152,먹고싶은만큼준비해주세요
153,반봉지
154,티백
155,약반컵
156,약간공기
157,각개
158,크게큰술
159,두마리
160,패키지
161,약개
162,약작은술
163,마요네즈
164,테이블스푼
165,한두컵
166,각한개씩
167,반개씩
168,캔중
169,큰술큰술
170,한토막
171,한알
172,두작은술
173,한대
174,적정량
175,분량
176,가닥
177,접시씩
178,통씩
179,건조제품기준
180,개약
181,자투리채소활용
182,많이
183,수저
184,찻수저
185,인분뚝배기
186,내용참고
187,한뿌리중
188,한바구니
189,세주먹
190,씩
191,작은것
192,반줌씩
193,개소
194,약컵
195,반컵한컵
196,묶음
197,하나
198,컵종이컵
199,인용한팩
200,마늘
201,약간씩
202,살짝
203,그릇
204,작은숟가락
205,접시소
206,반주먹
207,스푼스푼
208,스푼반스푼
209,컵종이컵기준
210,반숟가락
211,잠길만큼
212,한숟가락
213,한단
214,미리한팩
215,시판용
216,반캔
217,컵넉넉히
218,동전만큼
219,츠
220,개반
221,과큰술
222,중간사이즈캔
223,인분소면
224,두조각
225,약간옵션
226,개봉지
227,공지
228,충분히
229,한주먹
230,컵반
231,한그릇
232,한조각
233,취향대로
234,한톨
235,마리소
236,두주먹
237,다섯줄기
238,삼계탕과삼계탕속재료
239,삼계탕육수
240,세큰술
241,반묶음
242,덩어리
243,약가
244,원두께로한묶음
245,채썬것한주먹
246,반통
247,달걀개
248,준비한유리병크기의절반
249,레몬과동량
250,겹
251,있으면좋음
252,집에있는만큼
253,없으면다른버섯
254,쿤술
255,알중간크기
256,봉지작은것
257,작은컵
258,반갠
259,큰술술
260,각각개씩
261,먹다남은거
262,남은거
263,총컵
264,한근
265,양껏
266,반대
267,아빠숟갈
268,줌인분
269,중간것
270,점
271,생략가능
272,조
273,찻숟가락
274,재주껏
275,쌀양의두배
276,넉넉히세줌
277,한뿌리반
278,소주잔한컵
279,한모작은거기준
280,한쪽
281,간및양념장
282,기호에맞게
283,아래있어요
284,드시고싶으신만큼
285,통대
286,개이건없어도무관
287,한줌반
288,작은숟갈
289,줌씩
290,한줌약
291,한대접
292,사용한전복만큼
293,통소
294,밥숟가락으로계량하면편해요
295,한
296,장중
297,한스푼반
298,본문에
299,알중
300,약마리
301,갸
302,조금씩
303,기준
304,포
305,큰술씩
306,한국자
307,개다리
308,한줄기
309,다섯쪽
310,몇개
311,쪽대
312,두근
313,한줄
314,술
315,종지
316,종이컵컵
317,컵봉지
318,마리중
319,쪽중
320,이나
321,큰
322,십
323,mm
324,웹페이지
325,고급
326,칼집
327,뒤
328,깔기
329,나뉘어져
330,정확하게
331,젓가락
332,합니다
333,재야
334,넣으면
335,달라붙지
336,알루미늄
337,빻
338,포함
339,위해
340,붙어있는
341,붙어있으며
342,있습니다.
343,않게
344,좋아하는
345,마무리
346,붙은
347,방지
348,상태
349,깎는다
350,내는
351,변색
352,하시기
353,바랍니다
354,풀어놓은
355,익힌것
356,보라색
357,포토
358,새끼
359,취사
360,첨가
361,투명
362,갈색
363,큼
364,마니
365,이에요
366,올려
367,뷰
368,미국
369,melted
370,baking
371,목전
372,abc
373,weak
374,짧은것
375,슬라잉스
376,roe
377,hardtack
378,drumstick
379,reduction
380,second
381,보관
382,소독
383,랩
384,묶을
385,밥심
386,묻힘용
387,엄지
388,검지
389,중지
390,총량
391,끝
392,완성
393,붙지
394,가늘고
395,부드러운
396,소송
397,채친
398,카드
399,진한
400,녹색
401,만든
402,더욱
403,size
404,스위스
405,스팀
406,stick
407,및
408,공화국
409,소액
410,물약
411,넣어
412,붙은것
413,씻는
414,달아요
415,냉장고
416,관할
417,담근거라
418,기본
419,바로
420,늘
421,상관없어요
422,넣어요
423,만들기
424,아기
425,용량
426,자바라
427,작은것이
428,부두
429,큰것과
430,오빠
431,작은거로
432,차이
433,있으니
434,했어요
435,so
436,cmx
437,짧은
438,non
439,dhdl
440,part
441,홍석천
442,무난
443,어슷썬
444,감동
445,굵게다진
446,넓
447,앞
448,신전
449,소양
450,골드
451,쌍
452,손
453,마른매
454,굵은것
455,곁들인
456,희
457,냉동고
458,하루
459,대망
460,풀어서
461,생각
462,건강
463,사발
464,베니
465,엷은
466,목장
467,쾌변
468,소프트
469,속편
470,황금
471,찧은
472,익은것
473,끓인
474,입맛
475,쪼금
476,적은
477,봉투
478,자작하게
479,기름기
480,다듬은
481,뜬
482,되어있는
483,털기
484,넘게
485,배고픈만큼
486,뼘
487,적당한
488,동량
489,빼고
490,엄지손가락
491,고슬고슬
492,채도
493,칼로리
494,무는
495,내지
496,눈꼽
497,원료
498,천식
499,로켓
500,계량컵
501,넓적한거
502,적량
503,머그컵
504,푼것
505,세로
506,하는
507,만들어
508,에게는
509,배합
510,만원
511,식사
512,클릭
513,스파이
514,넣어도
515,ml
516,조절
517,dlfkd
518,잡내
519,먹는
520,데
521,개관
522,전용
523,예
524,핵
525,있거나
526,바를
527,작고
528,이던
529,구수한
530,많을수록
531,맛있음
532,대략
533,내용
534,있는것
535,집게손가락
536,안팎
537,윗
538,뭉큼
539,원형
540,왕창
541,위치
542,아홉
543,인용
544,꼭지
545,입니다
546,여기
547,깍
548,둑
549,좋아하
550,않지만
551,믹서
552,갈아
553,다지기
554,삶거나
555,하
556,하고
557,발라
558,부피
559,짓는
560,대신
561,썰어
562,굵게
563,세척
564,해주세요
565,처
566,밀폐
567,께
568,곁들일
569,차가운
570,다져서
571,단단한
572,잠길
573,상자
574,몇
575,손바닥
576,다양한
577,굵기
578,지은
579,아래
580,모두
581,무게
582,냄비
583,금기
584,고슬고슬한
585,가는
586,신청
587,유리
588,각각
589,좋아하는만큼
590,본인
591,가득
592,한마디
593,긴
594,영상
595,센치
596,깬
597,상관없음
598,빛
599,할
600,필수
601,때
602,년
603,방송
604,있는
605,만드는
606,맞게
607,각
608,묵은
609,다진거
610,더
611,참고
612,cm
613,듬
614,이상
615,미지근한
616,두께
617,경우
618,사용
619,스
620,을
621,그람
622,큰거
623,만큼
624,다진것
625,를
626,말린
627,정량
628,크기
629,정도
630,그
631,만
632,에
633,재료
634,혹은
635,긁어
636,사이
637,부족할
638,보충
639,않도록
640,구획
641,깎은
642,자른자
643,넣었어요
644,서브
645,큐
646,용
647,프리미엄
648,중
649,화생
650,채용
651,오
652,청
653,홍
654,좋습니다
655,길이
656,무관
657,별로
658,인치
659,색깔
660,좋아요
661,움큼
662,동전
663,짜리
664,부산
665,큰것
666,이태리
667,쫑쫑썬
668,홍익인간
669,편의점
670,않습니다
671,하지
672,삼각형
673,메시
674,재수
675,먹을만큼
676,됩니다
677,조선
